Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Brett Auerbach","SFG","C","AA","23.6861111",,31,"35 / 55","30 / 35","40 / 40","55 / 55","40",368,0.37874659,0.52848101,0.24050633,0.10869565,0.24184783,137.76597915894837,"sa3014941"
"Zac Cook","TOR","CF","AA","24.0138888",,26,"30 / 35","35 / 50","55 / 55","45 / 40","35+",336,0.37797619,0.48920863,0.23381295,0.0922619,0.29761905,134.42130671404954,"sa3015090"
"Yhoswar Garcia","PHI","CF","A","20.6416666",,27,"30 / 45","30 / 40","50 / 60","70 / 70","35+",77,0.2987013,0.27142857,0.04285714,0.07792208,0.2987013,62.80072615439186,"sa3015117"
"Yoelqui Cespedes","CHW","CF","AA","24.6111111",,17,"20 / 30","40 / 45","60 / 60","60 / 60","40",299,0.35016835,0.46296296,0.17777777,0.05351171,0.27759197,121.03889723838999,"sa3015137"
"Deyvison De Los Santos","ARI","3B","A","18.8694444",,9,"20 / 40","25 / 60","60 / 70","40 / 30","45",255,0.37007874,0.48898678,0.19383259,0.10196078,0.2627451,124.00269392592648,"sa3015168"
"Juan Corniel","ARI","SS","CPX","19.5888888",,32,"20 / 40","20 / 40","30 / 45","60 / 60","40",207,0.28502415,0.32446809,0.07978724,0.05797101,0.24637681,60.546218985392265,"sa3015169"
"Yerlin Confidan","CIN","RF","A","19.3833333",,16,"20 / 35","25 / 60","60 / 70","50 / 40","40+",192,0.359375,0.57303371,0.25842697,0.0625,0.25,134.75823674100914,"sa3015176"
"Braylin Minier","CIN","3B","CPX","18.8972222",,35,"20 / 55","20 / 40","45 / 50","20 / 20","35+",159,0.3081761,0.39310345,0.13793104,0.06918239,0.29559748,83.02488824390647,"sa3015177"
"Manuel Sequera","DET","2B","A","19.6",,23,"20 / 40","25 / 50","50 / 55","40 / 30","40",194,0.31443299,0.50877193,0.26315789,0.07731959,0.29381443,109.0076454975708,"sa3015179"
"Adrian Sugastey","SFG","C","A","19.5305555",,27,"25 / 50","20 / 30","40 / 45","20 / 20","40",163,0.40490798,0.43918919,0.08108108,0.07361963,0.1595092,125.96261328982521,"sa3015190"
"Kala'i Rosario","MIN","LF","A","19.8388888",,26,"20 / 40","25 / 55","55 / 60","45 / 40","40",208,0.34134615,0.45212766,0.17553192,0.09134615,0.31730769,109.1188090028065,"sa3015199"
"Jose Fernandez","ARI","SS","CPX","18.6166666",,30,"20 / 35","20 / 40","35 / 50","60 / 60","40",126,0.32,0.30357143,0.05357143,0.08730159,0.30952381,71.77019051274883,"sa3015204"
"Edgar Quero","LAA","C","A","19.0777777",,12,"25 / 55","20 / 40","40 / 50","30 / 20","40",158,0.40506329,0.46280992,0.2231405,0.17721519,0.27848101,131.3309396507246,"sa3015239"
"Tsung-Che Cheng","PIT","SS","A","20.8277777",,60,"35 / 60","20 / 20","20 / 20","60 / 60","35+",157,0.44871795,0.49180328,0.18032787,0.1910828,0.08917197,153.89203002216274,"sa3015376"
"Jeferson Quero","MIL","C","A","19.5722222",,7,"25 / 50","20 / 55","50 / 60","30 / 20","45",83,0.43373494,0.5,0.19117647,0.14457831,0.12048193,148.40060593087833,"sa3015407"
"Junior Caminero","TBR","3B","CPX","18.8305555",,21,"20 / 45","25 / 55","45 / 55","40 / 40","40+",171,0.38011696,0.53424658,0.23972603,0.11695906,0.16374269,144.60072271210015,"sa3015532"
"Adrian Pinto","TOR","2B","A","19.6166666",,23,"25 / 55","20 / 30","30 / 40","55 / 55","35+",224,0.48648649,0.54285714,0.18285714,0.16964286,0.08035714,184.95763866316844,"sa3015542"
"Yanquiel Fernandez","COL","LF","A","19.3416666",,10,"20 / 50","25 / 60","50 / 70","40 / 30","40+",202,0.40594059,0.53107345,0.19774012,0.10891089,0.12871287,154.21860506943682,"sa3015648"
"Cristian Hernandez","CHC","SS","DSL","18.3916666",,6,"25 / 50","20 / 40","45 / 55","55 / 55","45+",191,0.39790576,0.42405063,0.1392405,0.15706806,0.20418848,132.34040493558192,"sa3015696"
"Cristian Santana","DET","SS","A","18.4416666",,5,"25 / 60","25 / 50","40 / 50","50 / 45","45",216,0.4212963,0.52046784,0.25146199,0.13888889,0.21296296,160.70304276599134,"sa3015697"
"Danny De Andrade","MIN","SS","DSL","18.0666666",,19,"25 / 50","20 / 40","30 / 45","50 / 50","40",200,0.34,0.34831461,0.08426967,0.075,0.135,99.28893826615277,"sa3015698"
"Shalin Polanco","PIT","CF","DSL","18.2444444",,45,"20 / 50","20 / 50","40 / 50","40 / 40","40",176,0.28409091,0.33757962,0.13375796,0.10227273,0.25,77.17467749725849,"sa3015699"
"Jhonny Piron","TBR","CF","DSL","17.9222222",,51,"20 / 45","20 / 40","40 / 50","70 / 70","35+",205,0.36585366,0.36904762,0.13690476,0.14146341,0.21463415,113.96303363537514,"sa3015702"
"Pedro Pineda","OAK","CF","A","18.6611111",,5,"20 / 45","25 / 60","50 / 60","60 / 50","45+",117,0.36752137,0.36082474,0.12371134,0.15384615,0.35042735,104.95558750662069,"sa3015703"
"Jackson Chourio","MIL","CF","A","18.1472222",,8,"20 / 60","20 / 45","40 / 50","60 / 60","45",189,0.38624339,0.44654088,0.1509434,0.12169312,0.14814815,131.3449292884183,"sa3015704"
"Angel Genao","CLE","SS","DSL","17.9583333",,29,"20 / 50","20 / 45","35 / 45","50 / 50","40",192,0.421875,0.36423841,0.09933775,0.203125,0.15104167,132.8243745031523,"sa3015706"
"Manuel Beltre","TOR","SS","DSL","17.9027777",,30,"25 / 55","20 / 40","40 / 45","55 / 55","35+",238,0.3907563,0.34615385,0.12087912,0.17647059,0.13865546,118.7402866594385,"sa3015710"
"Denzer Guzman","LAA","SS","DSL","18.2388888",,4,"20 / 50","20 / 40","40 / 50","45 / 40","40+",164,0.31097561,0.36170213,0.14893617,0.12195122,0.14634146,91.55049764694148,"sa3015711"
"Maikol Hernandez","BAL","SS","DSL","18.5833333",,20,"20 / 45","20 / 50","30 / 50","50 / 40","40",156,0.33974359,0.30769231,0.07692308,0.12820513,0.21153846,91.77821733893299,"sa3015712"
"Manuel Pena","ARI","3B","DSL","18.4138888",,17,"20 / 50","25 / 55","45 / 60","45 / 40","40+",222,0.34234234,0.36082474,0.10824742,0.11711712,0.20720721,101.30906687804003,"sa3015715"
"Yemal Flores","PHI","RF","DSL","18.45",,22,"20 / 50","20 / 50","45 / 55","40 / 40","40",140,0.30714286,0.31623932,0.14529915,0.15,0.35714286,84.02245063358909,"sa3015717"
"Hendry Mendez","MIL","CF","A","18.4916666",,22,"25 / 60","20 / 40","40 / 50","50 / 50","40",138,0.40875912,0.47008547,0.15384615,0.12318841,0.08695652,139.28120618193304,"sa3015727"
"Kevin Guerrero","BAL","RF","DSL","18.0472222",,22,"25 / 55","20 / 50","40 / 55","50 / 50","40",159,0.37341772,0.29770992,0.03816794,0.14465409,0.20754717,102.2061552542333,"sa3015737"
"Fidel Montero","NYY","RF","DSL","18.375",,37,"20 / 45","25 / 55","55 / 70","60 / 50","35+",225,0.38666667,0.33918129,0.14619883,0.19555556,0.4,118.12202907894114,"sa3015856"
"Enderso Lira","BOS","C","DSL","18.5638888",,37,"25 / 55","20 / 45","40 / 45","30 / 20","35+",162,0.41358025,0.33606557,0.09016393,0.19753086,0.11111111,124.85269595049004,"sa3016145"
"Robert Lopez","CLE","C","CPX","18.3388888",,27,"25 / 55","20 / 40","35 / 40","40 / 30","40",124,0.31451613,0.29411765,0.12745098,0.13709677,0.25806452,83.50832436693263,"sa3016641"
"Carlos Jorge","CIN","2B","DSL","18.6166666",,36,"25 / 60","20 / 30","20 / 35","55 / 60","35+",188,0.43617021,0.57861635,0.2327044,0.12765957,0.17021277,173.88753324643653,"sa3016722"
"Tanner Murray","TBR","2B","A+","22.6694444",,29,"35 / 60","30 / 40","30 / 40","45 / 40","40",175,0.4,0.55483871,0.22580645,0.07428571,0.14857143,153.25903466851653,"sa3016805"
"Miguel Bleis","BOS","RF","DSL","18.175",,6,"20 / 50","25 / 60","45 / 60","50 / 50","45",136,0.33088235,0.42016807,0.16806723,0.08823529,0.18382353,109.063999669793,"sa3016834"
"Tyler McDonough","BOS","CF","A+","23.0888888",,14,"30 / 50","30 / 40","45 / 45","50 / 50","40+",139,0.38848921,0.49586777,0.19834711,0.12230216,0.20143885,138.87136019419805,"sa3016869"
"Ryan Bliss","ARI","2B","A+","22.3916666",,22,"35 / 50","30 / 40","45 / 45","55 / 55","40",182,0.32596685,0.44848485,0.18181818,0.07142857,0.23076923,101.07077642818803,"sa3016951"
"Adrian Del Castillo","ARI","C","A+","22.6027777",,16,"35 / 55","30 / 40","45 / 45","30 / 30","40+",98,0.36734694,0.42168675,0.15662651,0.1122449,0.29591837,111.11725834673787,"sa3016957"
"Izaac Pacheco","DET","3B","A","19.4611111",,15,"20 / 30","25 / 55","60 / 65","45 / 30","40",125,0.33870968,0.33018868,0.10377359,0.144,0.344,87.5454405939987,"sa3016969"
"Angel Arevalo","OAK","2B","DSL","18.5888888",,36,"25 / 55","20 / 30","30 / 40","60 / 60","35+",96,0.4375,0.47297297,0.17567567,0.1875,0.19791667,154.34665298680517,"sa3016972"
"Trey Sweeney","NYY","3B","A+","22.0277777",,14,"35 / 50","35 / 55","55 / 60","40 / 40","45",138,0.38405797,0.54782609,0.28695652,0.15942029,0.22463768,147.55563814742035,"sa3016973"
"Colton Cowser","BAL","CF","A+","22.1222222",41,4,"35 / 70","30 / 45","40 / 45","55 / 55","50",149,0.48993289,0.49166667,0.11666667,0.16778523,0.15436242,172.79613051780706,"sa3017018"
"Connor Norby","BAL","2B","A+","21.9055555",,13,"35 / 55","30 / 45","40 / 45","50 / 50","40+",150,0.38,0.40495868,0.14049587,0.14666667,0.23333333,117.57486838557226,"sa3017019"
"Henry Davis","PIT","C","A+","22.6194444",23,2,"35 / 50","35 / 70","70 / 70","40 / 40","55",31,0.38709677,0.80769231,0.5,0.12903226,0.32258065,188.7857035908123,"sa3017042"
"Alex Binelas","BOS","3B","A+","21.9388888",,17,"35 / 60","30 / 50","50 / 50","30 / 30","40+",159,0.38993711,0.58273381,0.27338129,0.10691824,0.24528302,155.8850690660682,"sa3017044"
"Sal Frelick","MIL","CF","AA","22.0416666",,3,"35 / 60","30 / 45","40 / 45","60 / 60","45+",169,0.41420118,0.46575342,0.1369863,0.12426036,0.14792899,139.65943232150752,"sa3017047"
"Marcelo Mayer","BOS","SS","A","19.3944444",20,2,"25 / 60","20 / 55","45 / 55","40 / 40","55",107,0.37735849,0.43956044,0.16483517,0.14018692,0.25233645,120.51810281222401,"sa3017114"
"Donta' Williams","BAL","CF","A+","22.8444444",,26,"35 / 55","30 / 35","40 / 40","60 / 60","40",111,0.44144144,0.36046512,0.06976745,0.20720721,0.15315315,131.71919433020508,"sa3017152"
"Matt McLain","CIN","SS","AA","22.7444444",,7,"35 / 60","30 / 40","45 / 45","60 / 60","45",126,0.38888889,0.46226415,0.17924528,0.13492063,0.19047619,133.98719371817907,"sa3017154"
"John Rhodes","BAL","3B","A+","21.7194444",,34,"30 / 35","30 / 45","50 / 55","50 / 50","35+",123,0.3495935,0.35185185,0.09259259,0.09756098,0.15447154,98.5921904629474,"sa3017162"
"Benny Montgomery","COL","CF","A","19.6527777",,8,"20 / 50","20 / 40","45 / 60","70 / 70","45",52,0.40384615,0.38297872,0.04255319,0.09615385,0.17307692,116.17251766481893,"sa3017169"
"Colson Montgomery","CHW","3B","A","20.1861111",,3,"30 / 45","30 / 60","50 / 65","50 / 40","45",111,0.3963964,0.36170213,0.07446809,0.11711712,0.1981982,112.03738756738642,"sa3017170"
"Wes Kath","CHW","3B","A","19.7527777",,7,"20 / 40","25 / 50","45 / 55","50 / 45","40+",115,0.28695652,0.33653846,0.125,0.06956522,0.36521739,66.38796269068463,"sa3017172"
"Hunter Goodman","COL","C","A","22.5722222",,26,"30 / 40","35 / 55","60 / 60","30 / 30","40",74,0.41891892,0.51666667,0.21666667,0.12162162,0.18918919,145.05316578317925,"sa3017173"
"Reed Trimble","BAL","CF","A","21.9111111",,16,"30 / 40","35 / 50","50 / 55","60 / 60","40+",94,0.30851064,0.225,0.025,0.12765957,0.26595745,59.43459733512533,"sa3017180"
"Zack Gelof","OAK","3B","AA","22.5416666",,4,"35 / 60","30 / 45","50 / 50","50 / 50","45+",161,0.42236025,0.56521739,0.23188406,0.1242236,0.23602484,155.70853629770065,"sa3017286"
"Max Muncy","OAK","SS","A","19.6916666",,12,"20 / 45","20 / 55","45 / 55","50 / 50","40+",34,0.20588235,0.12903226,0,0.08823529,0.35294118,-0.7198426425228663,"sa3017290"
"James Triantos","CHC","2B","A","19.2638888",108,4,"25 / 70","20 / 55","45 / 50","50 / 50","50",109,0.37614679,0.59405941,0.26732674,0.06422018,0.16513761,143.417289636208,"sa3017295"
"Matheu Nelson","CIN","C","A+","23.3055555",,18,"30 / 40","35 / 50","60 / 60","30 / 30","40+",35,0.34285714,0.32142857,0.14285714,0.17142857,0.48571429,93.50729330710331,"sa3017328"
"Ethan Wilson","PHI","LF","A+","22.4916666",,7,"30 / 50","30 / 50","60 / 60","55 / 55","45",117,0.28205128,0.37383178,0.15887851,0.08547009,0.21367521,77.58310643041246,"sa3017329"
"Kyle Manzardo","TBR","1B","A+","21.7944444",,30,"35 / 70","30 / 40","45 / 45","40 / 40","40",50,0.44,0.60465116,0.25581395,0.08,0.12,173.22232805951404,"sa3017342"
"Justice Thompson","CIN","CF","A+","21.8222222",,44,"30 / 40","30 / 35","40 / 45","55 / 55","35+",106,0.36190476,0.375,0.13636364,0.1509434,0.26415094,106.13688785660631,"sa3017395"
"Jose Torres","CIN","SS","A+","22.6",,23,"30 / 45","30 / 40","40 / 45","60 / 60","40",119,0.38655462,0.59047619,0.25714286,0.08403361,0.15966387,154.15823371778578,"sa3017396"
"Jay Allen II","CIN","CF","A","19.45",,12,"20 / 40","20 / 55","50 / 60","55 / 55","40+",75,0.44,0.55737705,0.2295082,0.10666667,0.16,159.0558502211367,"sa3017403"
"Denzel Clarke","OAK","CF","A","22.0083333",,20,"30 / 40","30 / 55","60 / 70","55 / 50","40",22,0.40909091,0.57894737,0.2631579,0.13636364,0.27272727,143.83622711480487,"sa3017426"
"Jordan Viars","PHI","CF","A","18.7944444",,16,"25 / 50","20 / 50","45 / 55","45 / 40","40",64,0.40625,0.46808511,0.21276596,0.171875,0.1875,132.31397817863592,"sa3017429"
"Jackson Glenn","PIT","2B","A+","24.5277777",,61,"35 / 50","30 / 40","45 / 45","40 / 40","35+",130,0.45384615,0.49056604,0.1509434,0.17692308,0.16923077,161.27391189495467,"sa3017478"
"Carlos Colmenarez","TBR","SS","DSL","18.4694444",,10,"25 / 55","25 / 55","45 / 55","55 / 55","45+",114,0.31858407,0.28865979,0.04123711,0.07017544,0.26315789,78.58297400550015,"sa3017480"
"Christian Franklin","CHC","CF","A","22.4277777",,24,"30 / 40","35 / 45","50 / 50","50 / 50","40+",101,0.42574257,0.31578947,0.07894736,0.1980198,0.24752475,122.73717515217389,"sa3017510"
"Noah Miller","MIN","SS","A","19.4777777",,12,"25 / 60","20 / 45","40 / 45","40 / 40","40+",96,0.31578947,0.36904762,0.13095238,0.09375,0.27083333,84.78582329452324,"sa3017512"
"Kahlil Watson","MIA","SS","A","19.05",50,0,"20 / 50","25 / 60","50 / 60","55 / 55","50",42,0.52380952,0.60606061,0.21212122,0.19047619,0.16666667,199.89862646289666,"sa3017513"
"Tyler Black","MIL","2B","A+","21.7722222",,10,"35 / 60","40 / 45","45 / 50","45 / 45","40+",115,0.42608696,0.32183908,0.08045977,0.22608696,0.26956522,122.81096570118227,"sa3017623"
"Lonnie White Jr.","PIT","CF","CPX","19.3444444",,24,"20 / 40","20 / 50","45 / 55","70 / 70","40+",33,0.3030303,0.51612903,0.25806451,0.06060606,0.42424242,108.40541259982228,"sa3017628"
