Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Erik Miller","PHI","MIRP","AAA","24.6722222",,9,"45 / 50","50 / 55","50 / 55","55 / 60","30 / 50","40+",48.1,0.29383886,0.14691943,0.37391304,3.5379314067899936,4.630694238161623,"sa3011336"
"Will Ethridge","COL","SP","AA","24.8194444",,40,"40 / 40","45 / 50","","50 / 50","35 / 60","35+",112.1,0.18711019,0.1018711,0.40853659,5.127596584274693,5.359893764751785,"sa3011337"
"Jackson Rutledge","WSN","SIRP","A","23.5388888",,10,"70 / 70","55 / 60","45 / 50","40 / 45","30 / 40","40+",97.1,0.23404255,0.06855792,0.50714286,4.900685187597676,3.9315883407571603,"sa3011338"
"Caleb Freeman","CHW","SIRP","AA","24.6444444",,10,"55 / 60","50 / 55","55 / 60","","40 / 40","40",17.1,0.22222222,0.18518519,0.36956522,7.269232102399991,5.807292642957802,"sa3011339"
"Seth Johnson","BAL","SP","A+","24.0722222",,16,"55 / 60","50 / 60","45 / 50","40 / 45","30 / 50","40+",27,0.37272727,0.1,0.31034483,3,3.0520875302729786,"sa3011342"
"Taylor Floyd","MIL","SIRP","AA","24.8527777",,19,"50 / 50","60 / 70","","","40 / 40","40",57.1,0.24907063,0.16356877,0.51748252,5.494186533922287,4.941643620765896,"sa3011367"
"Drew Parrish","KCR","SP","AAA","24.8527777",,19,"40 / 40","","45 / 45","60 / 60","45 / 55","40",128.2,0.18165138,0.10642202,0.36512262,4.126943331461957,5.8462917255908815,"sa3011395"
"Nick Bennett","MIL","MIRP","AA","25.1222222",,34,"45 / 45","60 / 60","","45 / 45","35 / 40","35+",124.2,0.22867514,0.08711434,0.48870056,5.197860822569482,4.506624948208848,"sa3011410"
"Chris Clarke","CHC","SP","AA","24.4222222",,31,"40 / 40","45 / 50","50 / 55","45 / 50","60 / 60","40",120.1,0.20992366,0.04770992,0.57671958,4.637119383076556,3.5738937134942486,"sa3011411"
"JJ Goss","TBR","SP","A","21.8055555",,24,"40 / 45","50 / 55","","","35 / 55","40+",101.1,0.24876847,0.05172414,0.48550725,3.99671072692423,3.5160568736465305,"sa3011420"
"Chris Murphy","BOS","MIRP","AAA","24.3611111",,35,"45 / 50","40 / 40","45 / 50","50 / 55","35 / 40","35+",152,0.23029366,0.11128284,0.41133005,4.026316193662563,4.794873686178507,"sa3011431"
"Evan Fitterer","MIA","SP","A+","22.3027777",,31,"45 / 50","45 / 50","50 / 55","40 / 50","35 / 45","35+",107.1,0.17241379,0.09913793,0.55351682,4.276397718175934,4.796266299042566,"sa3011433"
"Matt Cronin","WSN","SIRP","AAA","25.0694444",,30,"60 / 65","","55 / 60","40 / 45","40 / 45","35+",52,0.26923077,0.10576923,0.34126984,2.4230768341989943,4.525533916975455,"sa3011463"
"J.C. Flowers","PIT","SIRP","AA","24.4055555",,20,"55 / 60","60 / 70","","40 / 50","40 / 45","40+",68.2,0.21754386,0.08421053,0.56842105,2.883495572802434,4.116770470609073,"sa3011493"
"Brandon Williamson","CIN","SP","AAA","24.5361111",106,3,"50 / 55","55 / 60","55 / 60","55 / 60","35 / 45","50",122.2,0.22202166,0.13898917,0.35882353,4.108695992900682,5.722157694451066,"sa3011494"
"Daniel Espino","CLE","SP","AA","21.7777777",13,1,"70 / 80","60 / 70","55 / 60","45 / 55","45 / 50","60",18.1,0.51470588,0.05882353,0.24137931,2.454545880152248,1.5186265339442613,"sa3011495"
"Ryan Jensen","CHC","MIRP","AA","24.8944444",,19,"60 / 60","50 / 50","45 / 50","45 / 50","35 / 45","40+",59.1,0.23166023,0.15057915,0.50657895,4.2471913753202095,4.9668345993956216,"sa3011496"
"Matt Canterino","MIN","MIRP","CPX","24.8361111",,14,"55 / 55","55 / 60","50 / 55","55 / 60","40 / 45","40+",37,0.3483871,0.1483871,0.24324324,1.9459460337202112,4.616659395263831,"sa3011530"
"Adam Macko","SEA","SP","A+","21.7916666",,8,"45 / 55","55 / 55","55 / 60","","30 / 45","40+",38.1,0.35928144,0.11976048,0.48148148,3.9913048774128628,3.2130712258426626,"sa3011555"
"Yehizon Sanchez","OAK","SP","A","21.9138888",,35,"","","","","","35+",92.1,0.18421053,0.09090909,0.48263889,5.750902843869363,5.53970390406962,"sa3011574"
"Mitchell Stumpo","ARI","SIRP","AAA","26.3277777",,33,"50 / 55","50 / 55","","","30 / 35","35+",43.1,0.27272727,0.1657754,0.50505051,3.5307696451943786,5.279419511477082,"sa3011585"
"Zach King","MIA","SP","A+","24.4583333",,22,"40 / 40","55 / 55","","45 / 50","40 / 50","35+",111,0.26868687,0.11515152,0.45774648,5.027027027027027,4.31753064044961,"sa3011592"
"Jack Weisenburger","OAK","SIRP","AA","25.0194444",,27,"55 / 55","70 / 70","","","30 / 35","40",9.1,0.2972973,0.08108108,0.47826087,4.821430213597916,3.8559323066751645,"sa3011607"
"Starlyn Castillo","PHI","SIRP","A","20.6416666",,39,"55 / 60","55 / 60","","40 / 50","30 / 45","35+",39.2,0.22335025,0.07614213,0.39370079,9.756301739131564,4.505396494460723,"sa3011608"
"Joey Estes","OAK","SP","A+","21.0194444",,17,"55 / 60","40 / 45","","50 / 55","35 / 55","40",91,0.2377261,0.07751938,0.32,4.549450549450549,4.422162760548539,"sa3011637"
"Josh Wolf","CLE","MIRP","A","22.1222222",,38,"50 / 55","50 / 55","","40 / 50","30 / 45","40",25.2,0.21186441,0.1779661,0.53731343,5.6103889155215825,5.320393652229057,"sa3011638"
"Conor Grammes","ARI","SIRP","A+","25.2388888",,17,"65 / 70","60 / 70","55 / 60","","30 / 35","40",19.2,0.37,0.14,0.43589744,9.15254081025023,4.355882942769718,"sa3011651"
"Josh Gessner","TEX","MIRP","A","22.3055555",,38,"40 / 40","60 / 60","","","30 / 50","35+",47.1,0.25,0.12053571,0.3671875,5.704224356061417,5.185394434650824,"sa3011658"
"DJ Herz","CHC","MIRP","AA","21.7805555",,10,"50 / 55","45 / 50","","60 / 70","30 / 35","45",95.1,0.33732057,0.16746411,0.38860104,4.248251379938273,4.319211218389936,"sa3011680"
"Brendan Cellucci","BOS","SIRP","AA","24.2916666",,48,"50 / 50","","60 / 60","","20 / 35","35+",64.1,0.29310345,0.15172414,0.48026316,4.336787795133387,4.610785383874664,"sa3011710"
"Sem Robberse","TOR","SP","AA","21.0083333",,12,"45 / 50","45 / 55","50 / 55","30 / 50","30 / 50","40+",111.1,0.20995671,0.07359307,0.48039216,3.233533137252171,4.363960824142949,"sa3011735"
"Brennan Malone","PIT","SP","A","22.1027777",,58,"50 / 50","50 / 55","50 / 55","40 / 50","35 / 50","35+",5,0.26923077,0.07692308,0.35714286,7.2,4.942123050987721,"sa3011741"
"Jean Pinto","BAL","SIRP","A+","21.7666666",,23,"50 / 60","60 / 60","","40 / 45","30 / 50","40",91.2,0.26010101,0.11616162,0.49792531,3.8290913340167054,4.06608072539209,"sa3011803"
"Blake Walston","ARI","SP","AA","21.2972222",,7,"35 / 45","45 / 50","55 / 60","45 / 55","35 / 55","45+",124,0.2575188,0.08646617,0.3539823,4.790322654329156,4.434019942238528,"sa3011814"
"Tyler Schlaffer","CHC","SP","A+","21.3916666",,35,"40 / 50","","45 / 50","45 / 55","30 / 45","40",80.1,0.26060606,0.1,0.39698492,3.809128871878398,4.304917325341318,"sa3011815"
"Trevor McDonald","SFG","MIRP","A+","21.6361111",,36,"45 / 50","45 / 50","50 / 55","","30 / 50","35+",101.1,0.27906977,0.09767442,0.548,2.3092106422228884,4.008475513589633,"sa3011835"
"Andrew Dalquist","CHW","SP","AA","21.9222222",,23,"40 / 45","40 / 50","45 / 55","40 / 50","30 / 40","35+",104,0.16771488,0.13417191,0.34365325,6.490385448615333,6.081353034988513,"sa3011841"
