Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Brayan Castillo","COL","SP","A","21.9027777",,24,"50 / 55","45 / 50","","40 / 50","35 / 50","40",24.2,0.23529412,0.13445378,0.42253521,5.108107449801232,5.842329837677528,"sa3006544"
"Cole Uvila","BAL","SIRP","AAA","28.5166666",,52,"55 / 55","","50 / 50","55 / 55","30 / 40","35+",53.2,0.24590164,0.12295082,0.42105263,5.366459309450036,5.456378451823305,"sa3006804"
"Connor Higgins","LAA","SIRP","A+","26.0416666",,47,"60 / 60","45 / 50","","","30 / 35","35+",44,0.23300971,0.16019417,0.55462185,4.704545454545454,5.000203516740691,"sa3006808"
"Chris Muller","TBR","SIRP","AAA","26.2888888",,56,"55 / 55","50 / 50","","","30 / 35","35+",21.2,0.32989691,0.13402062,0.31372549,4.984614653277081,3.652178911572578,"sa3006811"
"Julio Robaina","HOU","MIRP","AA","21.3694444",,35,"40 / 40","50 / 50","45 / 45","55 / 60","40 / 45","35+",77,0.26666667,0.07575758,0.5047619,3.74025974025974,3.8189146363987154,"sa3006817"
"Michael Plassmeyer","PHI","SP","AAA","25.7527777",,30,"30 / 30","","45 / 45","50 / 55","55 / 60","35+",109.1,0.26495726,0.0491453,0.33006536,4.692073470864693,3.8679838902675154,"sa3006962"
"Brooks Wilson","ATL","MIRP","AAA","26.3916666",,20,"40 / 40","","45 / 50","","40 / 50","40",50,0.4137931,0.09359606,0.40425532,2.34,2.559192022681236,"sa3006966"
"Omar Cruz","PIT","SP","AA","23.5277777",,52,"30 / 35","","45 / 45","55 / 60","50 / 60","35+",99.1,0.23389021,0.08591885,0.36263736,3.4429532625370274,5.029244234741033,"sa3006971"
"Jonathan Bowlan","KCR","SP","AA","25.6805555",,7,"50 / 55","50 / 55","","40 / 45","50 / 60","40+",17,0.37878788,0.04545455,0.5,1.588235294117647,2.008837785440333,"sa3006973"
"Tanner Dodson","LAD","SIRP","AA","25.2416666",,47,"55 / 60","55 / 55","","45 / 45","40 / 40","35+",56.1,0.26337449,0.09465021,0.64238411,3.1952658033827444,3.711370051517526,"sa3007008"
"PJ Poulin","COL","SIRP","AAA","26.0305555",,41,"50 / 50","50 / 50","",,"55 / 60","35+",44.2,0.33522727,0.08522727,0.50515464,3.6268654135187766,3.41416414571463,"sa3007223"
"Clayton Andrews","MIL","SIRP","AAA","25.5888888",,38,"30 / 30","45 / 45","","55 / 60","40 / 50","35+",9.1,0.26190476,0.14285714,0.43478261,4.821430213597916,4.207176575154902,"sa3007226"
"Kai-Wei Teng","SFG","MIRP","AA","23.6805555",,56,"45 / 45","55 / 55","45 / 45","40 / 40","45 / 50","35+",95.2,0.34134615,0.12740385,0.48039216,4.327526592563173,4.164890115221731,"sa3007229"
